# corpus-wide term-usage Pareto over all 32 class corpora (14M text)
# generated by scripts/term-pareto.sh products/*/*/

RANK  COUNT    CUM%    TERM
772   46       94.4    instruction set architecture
773   45       94.5    totality
774   45       94.5    stdin
775   45       94.5    sequential composition
776   45       94.5    quicksort
777   45       94.5    pre-fixpoint
778   45       94.5    iostream
779   45       94.5    induction axiom
780   45       94.5    gadget
781   45       94.5    forward reasoning
782   45       94.6    execve
783   45       94.6    b+ tree
784   44       94.6    unit test
785   44       94.6    transition relation
786   44       94.6    std::endl
787   44       94.6    mergesort
788   44       94.6    machine code
789   44       94.6    linkedlist
790   44       94.6    heap property
791   44       94.7    halting problem
792   44       94.7    estimator
793   44       94.7    design pattern
794   43       94.7    unit testing
795   43       94.7    profiling
796   43       94.7    monotone query
797   43       94.7    @modifies
798   43       94.7    function definition
799   43       94.7    errno
800   43       94.8    dead code elimination
801   43       94.8    call stack
802   43       94.8    abstract domain
803   42       94.8    percolate down
804   42       94.8    linear inference
805   42       94.8    iteration space
806   42       94.8    dynamic typing
807   42       94.8    big-o
808   41       94.8    two's complement
809   41       94.9    truth value
810   41       94.9    polarity
811   41       94.9    empty string
812   40       94.9    transistor
813   40       94.9    stack machine
814   40       94.9    primitive recursion
815   40       94.9    pcf
816   40       94.9    parametric polymorphism
817   40       94.9    mutex
818   40       94.9    mutant
819   40       95.0    local optimization
820   40       95.0    linear probing
821   40       95.0    likelihood
822   40       95.0    falsehood
823   40       95.0    cache line
824   40       95.0    cache block
825   40       95.0    abstract state
826   39       95.0    β-reduction
827   39       95.0    total correctness
828   39       95.1    symbolic value
829   39       95.1    stakeholder
830   39       95.1    slicing
831   39       95.1    return statement
832   39       95.1    member function
833   39       95.1    local reduction
834   39       95.1    empty groups
835   39       95.1    dynamic dispatch
836   39       95.1    actor
837   38       95.1    with clause
838   38       95.2    rosette
839   38       95.2    rio
840   38       95.2    reflexive
841   38       95.2    program semantics
842   38       95.2    prime number
843   38       95.2    pigeonhole principle
844   38       95.2    local soundness
845   38       95.2    leftmost
846   38       95.2    functional decomposition
847   38       95.2    determinacy
848   38       95.3    database management system
849   38       95.3    controller monitor
850   37       95.3    session type
851   37       95.3    segments
852   37       95.3    program state
853   37       95.3    polynomial time
854   37       95.3    law of implication
855   37       95.3    function type
856   37       95.3    entity set
857   37       95.3    disjunctive normal form
858   37       95.3    context-free grammar
859   37       95.4    constructive logic
860   36       95.4    work and span
861   36       95.4    unification
862   36       95.4    statics
863   36       95.4    racket
864   36       95.4    primitive type
865   36       95.4    oracle
866   36       95.4    mapreduce
867   36       95.4    locality analysis
868   36       95.4    implication graph
869   36       95.4    garbage collection
870   36       95.5    file descriptor
871   36       95.5    derived rule
872   36       95.5    cost graph
873   36       95.5    ascii
874   36       95.5    address translation
875   36       95.5    abstraction function
876   35       95.5    α-equivalence
877   35       95.5    session types
878   35       95.5    referential transparency
879   35       95.5    projection
880   35       95.6    printstream
881   35       95.6    precedence graph
882   35       95.6    lambda expression
883   35       95.6    instance variable
884   35       95.6    insertion sort
885   35       95.6    histogram
886   35       95.6    hashmap
887   35       95.6    global scheduling
888   35       95.6    covariance
889   35       95.6    canonical form
890   35       95.6    abstract class
891   34       95.7    virtual address space
892   34       95.7    sum rule
893   34       95.7    slr
894   34       95.7    pseudocode
895   34       95.7    modular arithmetic
896   34       95.7    merge-over-all-paths
897   34       95.7    meet-over-all-paths vs. fixed-point solution
898   34       95.7    meet-over-all-paths
899   34       95.7    false negative
900   34       95.7    convex theory
901   34       95.7    classical logic
902   34       95.7    abstract interpretation
903   33       95.8    worklist algorithm
904   33       95.8    timer
905   33       95.8    semaphore
906   33       95.8    reference semantics
907   33       95.8    modernized algol
908   33       95.8    mathematical induction
909   33       95.8    evolution domain constraint
910   33       95.8    empty set
911   33       95.8    edge case
912   33       95.8    dynamic compilation
913   33       95.8    control variable
914   33       95.8    conditional probability
915   33       95.9    black height
916   33       95.9    big-step semantics
917   32       95.9    type theory
918   32       95.9    subsingleton logic
919   32       95.9    strong induction
920   32       95.9    scientific
921   32       95.9    robustness
922   32       95.9    reasoning precision
923   32       95.9    pcfv
924   32       95.9    nonterminal
925   32       95.9    maximum likelihood estimation
926   32       95.9    heap sort
927   32       96.0    for-each loop
928   32       96.0    exhaustive search
929   32       96.0    differential game invariant
930   32       96.0    copy constructor
931   32       96.0    balanced tree
932   31       96.0    well-founded
933   31       96.0    theorem proving
